,file_list,spatial_coordinates,metadata
46,/arabian_horn_viper/00046.jpg,"[2,553,312,489,370]",{'1': '0'}
47,/arabian_horn_viper/00047.jpg,"[2,561,277,486,378]",{'1': '0'}
48,/arabian_horn_viper/00048.jpg,"[2,547,239,481,334]",{'1': '0'}
49,/arabian_horn_viper/00049.jpg,"[2,536,226,477,321]",{'1': '0'}
50,/arabian_horn_viper/00050.jpg,"[2,528,226,472,321]",{'1': '0'}
51,/arabian_horn_viper/00051.jpg,"[2,529,251,477,329]",{'1': '0'}
52,/arabian_horn_viper/00052.jpg,"[2,527,269,483,340]",{'1': '0'}
53,/arabian_horn_viper/00053.jpg,"[2,519,269,491,362]",{'1': '0'}
54,/arabian_horn_viper/00054.jpg,"[2,523,247,495,383]",{'1': '0'}
55,/arabian_horn_viper/00055.jpg,"[2,533,214,497,403]",{'1': '0'}
56,/arabian_horn_viper/00056.jpg,"[2,567,189,489,401]",{'1': '0'}
57,/arabian_horn_viper/00057.jpg,"[2,575,181,490,405]",{'1': '0'}
58,/arabian_horn_viper/00058.jpg,"[2,532,207,510,423]",{'1': '0'}
59,/arabian_horn_viper/00059.jpg,"[2,520,210,518,384]",{'1': '0'}
60,/arabian_horn_viper/00060.jpg,"[2,523,201,521,316]",{'1': '0'}
61,/arabian_horn_viper/00061.jpg,"[2,511,206,525,283]",{'1': '0'}
62,/arabian_horn_viper/00062.jpg,"[2,501,204,526,269]",{'1': '0'}
63,/arabian_horn_viper/00063.jpg,"[2,493,192,523,289]",{'1': '0'}
64,/arabian_horn_viper/00064.jpg,"[2,485,173,516,321]",{'1': '0'}
65,/arabian_horn_viper/00065.jpg,"[2,476,151,508,359]",{'1': '0'}
66,/arabian_horn_viper/00066.jpg,"[2,486,140,499,378]",{'1': '0'}
67,/arabian_horn_viper/00067.jpg,"[2,499,159,492,390]",{'1': '0'}
68,/arabian_horn_viper/00068.jpg,"[2,522,239,485,390]",{'1': '0'}
69,/arabian_horn_viper/00069.jpg,"[2,533,291,462,380]",{'1': '0'}
70,/arabian_horn_viper/00070.jpg,"[2,538,327,430,366]",{'1': '0'}
71,/arabian_horn_viper/00071.jpg,"[2,490,260,449,334]",{'1': '0'}
72,/arabian_horn_viper/00072.jpg,"[2,447,204,469,307]",{'1': '0'}
73,/arabian_horn_viper/00073.jpg,"[2,415,169,492,293]",{'1': '0'}
74,/arabian_horn_viper/00074.jpg,"[2,402,155,490,312]",{'1': '0'}
75,/arabian_horn_viper/00075.jpg,"[2,397,152,478,346]",{'1': '0'}
76,/arabian_horn_viper/00076.jpg,"[2,434,160,454,381]",{'1': '0'}
77,/arabian_horn_viper/00077.jpg,"[2,459,187,448,375]",{'1': '0'}
78,/arabian_horn_viper/00078.jpg,"[2,463,253,473,283]",{'1': '0'}
79,/arabian_horn_viper/00079.jpg,"[2,422,302,492,259]",{'1': '0'}
80,/arabian_horn_viper/00080.jpg,"[2,360,342,506,270]",{'1': '0'}
81,/arabian_horn_viper/00081.jpg,"[2,304,351,457,314]",{'1': '0'}
82,/arabian_horn_viper/00082.jpg,"[2,296,360,421,344]",{'1': '0'}
83,/arabian_horn_viper/00083.jpg,"[2,381,366,415,347]",{'1': '0'}
84,/arabian_horn_viper/00084.jpg,"[2,428,407,432,310]",{'1': '0'}
85,/arabian_horn_viper/00085.jpg,"[2,455,465,462,253]",{'1': '0'}
86,/arabian_horn_viper/00086.jpg,"[2,456,422,451,268]",{'1': '0'}
87,/arabian_horn_viper/00087.jpg,"[2,455,372,447,294]",{'1': '0'}
88,/arabian_horn_viper/00088.jpg,"[2,452,308,454,339]",{'1': '0'}
89,/arabian_horn_viper/00089.jpg,"[2,378,339,432,332]",{'1': '0'}
90,/arabian_horn_viper/00090.jpg,"[2,270,418,394,299]",{'1': '0'}
91,/arabian_horn_viper/00091.jpg,"[2,108,306,470,379]",{'1': '0'}
92,/arabian_horn_viper/00092.jpg,"[2,23,190,504,444]",{'1': '0'}
93,/arabian_horn_viper/00093.jpg,"[2,89,70,455,474]",{'1': '0'}
94,/arabian_horn_viper/00094.jpg,"[2,136,35,449,510]",{'1': '0'}
95,/arabian_horn_viper/00095.jpg,"[2,173,42,464,549]",{'1': '0'}
96,/arabian_horn_viper/00096.jpg,"[2,196,28,466,467]",{'1': '0'}
97,/arabian_horn_viper/00097.jpg,"[2,224,39,461,400]",{'1': '0'}
98,/arabian_horn_viper/00098.jpg,"[2,265,97,437,366]",{'1': '0'}
99,/arabian_horn_viper/00099.jpg,"[2,356,149,431,335]",{'1': '0'}
100,/arctic_fox_1/00000.jpg,"[2,148,250,631,367]",{'1': '0'}
101,/arctic_fox_1/00001.jpg,"[2,138,246,637,370]",{'1': '0'}
102,/arctic_fox_1/00002.jpg,"[2,128,244,639,372]",{'1': '0'}
103,/arctic_fox_1/00003.jpg,"[2,119,246,631,371]",{'1': '0'}
104,/arctic_fox_1/00004.jpg,"[2,111,251,640,365]",{'1': '0'}
105,/arctic_fox_1/00005.jpg,"[2,103,258,660,356]",{'1': '0'}
106,/arctic_fox_1/00006.jpg,"[2,98,252,677,362]",{'1': '0'}
107,/arctic_fox_1/00007.jpg,"[2,99,247,687,365]",{'1': '0'}
108,/arctic_fox_1/00008.jpg,"[2,110,242,684,368]",{'1': '0'}
109,/arctic_fox_1/00009.jpg,"[2,119,244,677,367]",{'1': '0'}
110,/arctic_fox_1/00010.jpg,"[2,127,249,670,364]",{'1': '0'}
111,/arctic_fox_1/00011.jpg,"[2,136,250,660,361]",{'1': '0'}
112,/arctic_fox_1/00012.jpg,"[2,146,254,651,357]",{'1': '0'}
113,/arctic_fox_1/00013.jpg,"[2,156,263,644,350]",{'1': '0'}
114,/arctic_fox_1/00014.jpg,"[2,175,266,634,348]",{'1': '0'}
115,/arctic_fox_1/00015.jpg,"[2,197,266,625,348]",{'1': '0'}
116,/arctic_fox_1/00016.jpg,"[2,220,264,638,352]",{'1': '0'}
117,/arctic_fox_1/00017.jpg,"[2,239,263,644,354]",{'1': '0'}
118,/arctic_fox_1/00018.jpg,"[2,253,264,630,352]",{'1': '0'}
119,/arctic_fox_1/00019.jpg,"[2,267,264,627,352]",{'1': '0'}
120,/arctic_fox_1/00020.jpg,"[2,282,264,628,354]",{'1': '0'}
121,/arctic_fox_1/00021.jpg,"[2,293,260,625,356]",{'1': '0'}
122,/arctic_fox_1/00022.jpg,"[2,304,258,623,358]",{'1': '0'}
123,/arctic_fox_1/00023.jpg,"[2,315,258,621,362]",{'1': '0'}
124,/arctic_wolf_1/00000.jpg,"[2,527,187,208,145]",{'1': '0'}
125,/arctic_wolf_1/00001.jpg,"[2,528,186,205,148]",{'1': '0'}
126,/arctic_wolf_1/00002.jpg,"[2,529,185,202,150]",{'1': '0'}
127,/arctic_wolf_1/00003.jpg,"[2,529,185,199,148]",{'1': '0'}
128,/arctic_wolf_1/00004.jpg,"[2,529,184,202,146]",{'1': '0'}
129,/arctic_wolf_1/00005.jpg,"[2,529,182,207,144]",{'1': '0'}
130,/arctic_wolf_1/00006.jpg,"[2,527,181,211,143]",{'1': '0'}
131,/arctic_wolf_1/00007.jpg,"[2,526,180,215,143]",{'1': '0'}
132,/arctic_wolf_1/00008.jpg,"[2,525,178,220,145]",{'1': '0'}
133,/arctic_wolf_1/00009.jpg,"[2,525,178,215,145]",{'1': '0'}
134,/arctic_wolf_1/00010.jpg,"[2,525,178,207,145]",{'1': '0'}
135,/arctic_wolf_1/00011.jpg,"[2,525,176,209,146]",{'1': '0'}
136,/arctic_wolf_1/00012.jpg,"[2,527,173,212,148]",{'1': '0'}
137,/arctic_wolf_1/00013.jpg,"[2,534,167,214,151]",{'1': '0'}
138,/arctic_wolf_1/00014.jpg,"[2,546,164,211,154]",{'1': '0'}
139,/arctic_wolf_1/00015.jpg,"[2,561,162,207,157]",{'1': '0'}
140,/arctic_wolf_1/00016.jpg,"[2,579,162,213,155]",{'1': '0'}
141,/arctic_wolf_1/00017.jpg,"[2,597,162,214,152]",{'1': '0'}
142,/arctic_wolf_1/00018.jpg,"[2,614,165,206,142]",{'1': '0'}
143,/arctic_wolf_1/00019.jpg,"[2,631,165,203,138]",{'1': '0'}
144,/arctic_wolf_1/00020.jpg,"[2,648,165,204,136]",{'1': '0'}
145,/arctic_wolf_1/00021.jpg,"[2,661,164,210,137]",{'1': '0'}
146,/arctic_wolf_1/00022.jpg,"[2,674,165,209,134]",{'1': '0'}
147,/arctic_wolf_1/00023.jpg,"[2,685,171,198,121]",{'1': '0'}
148,/arctic_wolf_1/00024.jpg,"[2,697,172,195,117]",{'1': '0'}
149,/arctic_wolf_1/00025.jpg,"[2,710,170,195,119]",{'1': '0'}
150,/arctic_wolf_1/00026.jpg,"[2,722,168,198,121]",{'1': '0'}
151,/arctic_wolf_1/00027.jpg,"[2,734,167,195,122]",{'1': '0'}
152,/arctic_wolf_1/00028.jpg,"[2,743,168,182,120]",{'1': '0'}
153,/arctic_wolf_1/00029.jpg,"[2,750,167,175,120]",{'1': '0'}
154,/arctic_wolf_1/00030.jpg,"[2,757,167,170,118]",{'1': '0'}
155,/arctic_wolf_1/00031.jpg,"[2,761,164,165,123]",{'1': '0'}
156,/arctic_wolf_1/00032.jpg,"[2,764,161,161,128]",{'1': '0'}
157,/arctic_wolf_1/00033.jpg,"[2,763,159,162,131]",{'1': '0'}
158,/arctic_wolf_1/00034.jpg,"[2,761,162,161,128]",{'1': '0'}
159,/arctic_wolf_1/00035.jpg,"[2,757,167,160,122]",{'1': '0'}
160,/arctic_wolf_1/00036.jpg,"[2,755,168,158,120]",{'1': '0'}
161,/arctic_wolf_1/00037.jpg,"[2,752,167,155,120]",{'1': '0'}
162,/arctic_wolf_1/00038.jpg,"[2,747,163,150,125]",{'1': '0'}
163,/arctic_wolf_1/00039.jpg,"[2,741,162,154,125]",{'1': '0'}
164,/black_cat_1/00000.jpg,"[2,220,334,268,142]",{'1': '0'}
165,/black_cat_1/00001.jpg,"[2,237,323,265,154]",{'1': '0'}
166,/black_cat_1/00002.jpg,"[2,257,316,253,160]",{'1': '0'}
167,/black_cat_1/00003.jpg,"[2,280,317,231,149]",{'1': '0'}
168,/black_cat_1/00004.jpg,"[2,296,318,216,147]",{'1': '0'}
169,/black_cat_1/00005.jpg,"[2,309,320,203,149]",{'1': '0'}
170,/black_cat_1/00006.jpg,"[2,366,309,167,158]",{'1': '0'}
171,/black_cat_1/00007.jpg,"[2,404,304,149,161]",{'1': '0'}
172,/black_cat_1/00008.jpg,"[2,409,313,161,150]",{'1': '0'}
173,/black_cat_1/00009.jpg,"[2,415,311,171,159]",{'1': '0'}
174,/black_cat_1/00010.jpg,"[2,422,307,178,172]",{'1': '0'}
175,/black_cat_1/00011.jpg,"[2,417,308,199,167]",{'1': '0'}
176,/black_cat_1/00012.jpg,"[2,416,309,215,156]",{'1': '0'}
177,/black_cat_1/00013.jpg,"[2,426,310,221,139]",{'1': '0'}
178,/black_cat_1/00014.jpg,"[2,425,310,228,136]",{'1': '0'}
179,/black_cat_1/00015.jpg,"[2,418,310,237,143]",{'1': '0'}
180,/black_cat_1/00016.jpg,"[2,422,315,273,135]",{'1': '0'}
181,/black_cat_1/00017.jpg,"[2,433,317,294,129]",{'1': '0'}
182,/black_cat_1/00018.jpg,"[2,458,314,289,128]",{'1': '0'}
183,/black_cat_1/00019.jpg,"[2,484,317,279,125]",{'1': '0'}
184,/black_cat_1/00020.jpg,"[2,511,324,268,120]",{'1': '0'}
185,/black_cat_1/00021.jpg,"[2,506,320,279,116]",{'1': '0'}
186,/black_cat_1/00022.jpg,"[2,507,318,287,113]",{'1': '0'}
187,/black_cat_1/00023.jpg,"[2,518,322,286,113]",{'1': '0'}
188,/black_cat_1/00024.jpg,"[2,518,322,292,114]",{'1': '0'}
189,/black_cat_1/00025.jpg,"[2,511,320,303,115]",{'1': '0'}
190,/black_cat_1/00026.jpg,"[2,503,310,307,120]",{'1': '0'}
191,/black_cat_1/00027.jpg,"[2,496,304,310,127]",{'1': '0'}
192,/black_cat_1/00028.jpg,"[2,493,307,309,138]",{'1': '0'}
193,/black_cat_1/00029.jpg,"[2,487,309,309,136]",{'1': '0'}
194,/black_cat_1/00030.jpg,"[2,481,310,309,128]",{'1': '0'}
195,/black_cat_1/00031.jpg,"[2,478,307,291,118]",{'1': '0'}
196,/black_cat_1/00032.jpg,"[2,466,304,286,121]",{'1': '0'}
197,/black_cat_1/00033.jpg,"[2,437,307,307,141]",{'1': '0'}
198,/black_cat_1/00034.jpg,"[2,413,308,318,143]",{'1': '0'}
199,/black_cat_1/00035.jpg,"[2,392,309,323,137]",{'1': '0'}
200,/black_cat_1/00036.jpg,"[2,394,301,292,137]",{'1': '0'}
201,/black_cat_1/00037.jpg,"[2,391,294,269,138]",{'1': '0'}
202,/black_cat_1/00038.jpg,"[2,376,293,263,135]",{'1': '0'}
203,/black_cat_1/00039.jpg,"[2,365,295,257,136]",{'1': '0'}
204,/black_cat_1/00040.jpg,"[2,354,300,250,139]",{'1': '0'}
205,/black_cat_1/00041.jpg,"[2,320,294,278,141]",{'1': '0'}
206,/black_cat_1/00042.jpg,"[2,289,290,295,138]",{'1': '0'}
207,/black_cat_1/00043.jpg,"[2,260,287,296,130]",{'1': '0'}
208,/black_cat_1/00044.jpg,"[2,230,288,298,128]",{'1': '0'}
209,/black_cat_1/00045.jpg,"[2,198,290,300,129]",{'1': '0'}
210,/black_cat_1/00046.jpg,"[2,180,284,305,137]",{'1': '0'}
211,/black_cat_1/00047.jpg,"[2,197,280,291,138]",{'1': '0'}
212,/black_cat_1/00048.jpg,"[2,291,276,233,130]",{'1': '0'}
213,/black_cat_1/00049.jpg,"[2,300,273,235,130]",{'1': '0'}
214,/black_cat_1/00050.jpg,"[2,268,268,266,137]",{'1': '0'}
215,/black_cat_1/00051.jpg,"[2,278,273,254,125]",{'1': '0'}
216,/black_cat_1/00052.jpg,"[2,290,275,241,119]",{'1': '0'}
217,/black_cat_1/00053.jpg,"[2,306,271,225,124]",{'1': '0'}
218,/black_cat_1/00054.jpg,"[2,301,271,229,124]",{'1': '0'}
219,/black_cat_1/00055.jpg,"[2,283,273,246,121]",{'1': '0'}
220,/black_cat_1/00056.jpg,"[2,297,269,236,111]",{'1': '0'}
221,/black_cat_1/00057.jpg,"[2,296,268,245,107]",{'1': '0'}
222,/black_cat_1/00058.jpg,"[2,261,275,294,115]",{'1': '0'}
223,/black_cat_1/00059.jpg,"[2,268,277,297,114]",{'1': '0'}
224,/black_cat_1/00060.jpg,"[2,295,277,279,111]",{'1': '0'}
225,/black_cat_1/00061.jpg,"[2,302,281,277,109]",{'1': '0'}
226,/black_cat_1/00062.jpg,"[2,309,280,277,107]",{'1': '0'}
227,/black_cat_1/00063.jpg,"[2,318,270,280,105]",{'1': '0'}
228,/black_cat_1/00064.jpg,"[2,324,269,281,102]",{'1': '0'}
229,/black_cat_1/00065.jpg,"[2,329,271,282,101]",{'1': '0'}
230,/black_cat_1/00066.jpg,"[2,330,270,278,108]",{'1': '0'}
231,/black_cat_1/00067.jpg,"[2,329,267,283,115]",{'1': '0'}
232,/black_cat_1/00068.jpg,"[2,322,261,303,123]",{'1': '0'}
233,/black_cat_1/00069.jpg,"[2,327,266,288,122]",{'1': '0'}
234,/black_cat_1/00070.jpg,"[2,338,274,256,117]",{'1': '0'}
235,/black_cat_1/00071.jpg,"[2,340,273,264,122]",{'1': '0'}
236,/black_cat_1/00072.jpg,"[2,341,273,269,123]",{'1': '0'}
237,/black_cat_1/00073.jpg,"[2,336,277,271,114]",{'1': '0'}
238,/black_cat_1/00074.jpg,"[2,314,282,292,110]",{'1': '0'}
239,/black_cat_1/00075.jpg,"[2,283,287,323,109]",{'1': '0'}
240,/black_cat_1/00076.jpg,"[2,303,283,291,129]",{'1': '0'}
241,/black_cat_1/00077.jpg,"[2,315,281,266,142]",{'1': '0'}
242,/black_cat_1/00078.jpg,"[2,309,281,255,137]",{'1': '0'}
243,/black_cat_1/00079.jpg,"[2,309,281,247,129]",{'1': '0'}
244,/black_cat_1/00080.jpg,"[2,313,282,240,119]",{'1': '0'}
245,/black_cat_1/00081.jpg,"[2,273,283,254,112]",{'1': '0'}
246,/black_cat_1/00082.jpg,"[2,247,286,262,109]",{'1': '0'}
247,/black_cat_1/00083.jpg,"[2,249,290,260,115]",{'1': '0'}
248,/black_cat_1/00084.jpg,"[2,222,293,248,110]",{'1': '0'}
249,/black_cat_1/00085.jpg,"[2,178,294,234,102]",{'1': '0'}
250,/black_cat_1/00086.jpg,"[2,173,273,246,126]",{'1': '0'}
251,/black_cat_1/00087.jpg,"[2,160,260,262,139]",{'1': '0'}
252,/black_cat_1/00088.jpg,"[2,133,260,286,131]",{'1': '0'}
253,/black_cat_1/00089.jpg,"[2,130,259,282,130]",{'1': '0'}
254,/black_cat_1/00090.jpg,"[2,139,256,266,133]",{'1': '0'}
255,/black_cat_1/00091.jpg,"[2,162,259,240,130]",{'1': '0'}
256,/black_cat_1/00092.jpg,"[2,184,259,221,130]",{'1': '0'}
257,/black_cat_1/00093.jpg,"[2,206,257,217,131]",{'1': '0'}
258,/black_cat_1/00094.jpg,"[2,211,257,228,126]",{'1': '0'}
259,/black_cat_1/00095.jpg,"[2,209,260,248,117]",{'1': '0'}
260,/black_cat_1/00096.jpg,"[2,223,266,240,110]",{'1': '0'}
261,/black_cat_1/00097.jpg,"[2,240,267,233,105]",{'1': '0'}
262,/black_cat_1/00098.jpg,"[2,259,259,232,108]",{'1': '0'}
263,/black_cat_1/00099.jpg,"[2,258,262,241,105]",{'1': '0'}
264,/crab/00000.jpg,"[2,464,494,397,185]",{'1': '0'}
265,/crab/00001.jpg,"[2,449,489,412,195]",{'1': '0'}
266,/crab/00002.jpg,"[2,441,486,423,200]",{'1': '0'}
267,/crab/00003.jpg,"[2,446,487,431,193]",{'1': '0'}
268,/crab/00004.jpg,"[2,450,486,428,192]",{'1': '0'}
269,/crab/00005.jpg,"[2,453,482,423,196]",{'1': '0'}
270,/crab/00006.jpg,"[2,445,475,431,199]",{'1': '0'}
271,/crab/00007.jpg,"[2,440,473,433,199]",{'1': '0'}
272,/crab/00008.jpg,"[2,436,481,430,191]",{'1': '0'}
273,/crab/00009.jpg,"[2,436,488,420,184]",{'1': '0'}
274,/crab/00010.jpg,"[2,437,494,407,176]",{'1': '0'}
275,/crab/00011.jpg,"[2,446,501,398,165]",{'1': '0'}
276,/crab/00012.jpg,"[2,454,505,391,158]",{'1': '0'}
277,/crab/00013.jpg,"[2,464,503,385,159]",{'1': '0'}
278,/crab/00014.jpg,"[2,477,501,380,159]",{'1': '0'}
279,/crab/00015.jpg,"[2,491,500,375,156]",{'1': '0'}
280,/crab_1/00000.jpg,"[2,1017,236,262,173]",{'1': '0'}
281,/crab_1/00001.jpg,"[2,993,236,286,177]",{'1': '0'}
282,/crab_1/00002.jpg,"[2,970,237,309,181]",{'1': '0'}
283,/crab_1/00003.jpg,"[2,951,242,328,183]",{'1': '0'}
284,/crab_1/00004.jpg,"[2,934,255,345,178]",{'1': '0'}
285,/crab_1/00005.jpg,"[2,918,273,361,167]",{'1': '0'}
286,/crab_1/00006.jpg,"[2,868,266,379,179]",{'1': '0'}
287,/crab_1/00007.jpg,"[2,825,262,380,188]",{'1': '0'}
288,/crab_1/00008.jpg,"[2,794,265,384,186]",{'1': '0'}
289,/crab_1/00009.jpg,"[2,793,265,378,183]",{'1': '0'}
290,/crab_1/00010.jpg,"[2,806,263,372,179]",{'1': '0'}
291,/crab_1/00011.jpg,"[2,744,257,367,168]",{'1': '0'}
292,/crab_1/00012.jpg,"[2,685,250,358,156]",{'1': '0'}
293,/crab_1/00013.jpg,"[2,628,244,346,143]",{'1': '0'}
294,/crab_1/00014.jpg,"[2,612,244,344,140]",{'1': '0'}
295,/crab_1/00015.jpg,"[2,618,246,345,143]",{'1': '0'}
296,/crab_1/00016.jpg,"[2,570,236,339,150]",{'1': '0'}
297,/crab_1/00017.jpg,"[2,530,228,331,151]",{'1': '0'}
298,/crab_1/00018.jpg,"[2,504,226,324,136]",{'1': '0'}
299,/crab_1/00019.jpg,"[2,498,230,328,131]",{'1': '0'}
300,/crab_1/00020.jpg,"[2,500,237,340,133]",{'1': '0'}
301,/crab_1/00021.jpg,"[2,493,241,333,135]",{'1': '0'}
302,/crab_1/00022.jpg,"[2,487,243,324,137]",{'1': '0'}
303,/crab_1/00023.jpg,"[2,480,244,318,136]",{'1': '0'}
304,/crab_1/00024.jpg,"[2,466,243,314,138]",{'1': '0'}
305,/crab_1/00025.jpg,"[2,449,241,310,140]",{'1': '0'}
306,/crab_1/00026.jpg,"[2,428,246,309,133]",{'1': '0'}
307,/crab_1/00027.jpg,"[2,411,251,307,129]",{'1': '0'}
308,/crab_1/00028.jpg,"[2,405,258,301,131]",{'1': '0'}
309,/crab_1/00029.jpg,"[2,385,262,307,132]",{'1': '0'}
310,/crab_1/00030.jpg,"[2,356,268,320,128]",{'1': '0'}
311,/crab_1/00031.jpg,"[2,354,279,273,115]",{'1': '0'}
312,/crab_1/00032.jpg,"[2,337,285,249,108]",{'1': '0'}
313,/crab_1/00033.jpg,"[2,292,281,268,114]",{'1': '0'}
314,/crab_1/00034.jpg,"[2,272,286,243,116]",{'1': '0'}
315,/crab_1/00035.jpg,"[2,266,297,191,116]",{'1': '0'}
316,/crab_1/00036.jpg,"[2,265,289,201,123]",{'1': '0'}
317,/crab_1/00037.jpg,"[2,274,284,206,129]",{'1': '0'}
318,/crab_1/00038.jpg,"[2,298,285,207,131]",{'1': '0'}
319,/crab_1/00039.jpg,"[2,316,292,230,134]",{'1': '0'}
320,/crab_1/00040.jpg,"[2,331,301,262,140]",{'1': '0'}
321,/crab_1/00041.jpg,"[2,343,306,264,136]",{'1': '0'}
322,/crab_1/00042.jpg,"[2,355,308,265,135]",{'1': '0'}
323,/crab_1/00043.jpg,"[2,368,307,264,136]",{'1': '0'}
324,/crab_1/00044.jpg,"[2,378,303,260,135]",{'1': '0'}
325,/crab_1/00045.jpg,"[2,386,299,256,134]",{'1': '0'}
326,/crab_1/00046.jpg,"[2,395,298,255,136]",{'1': '0'}
327,/crab_1/00047.jpg,"[2,404,298,255,136]",{'1': '0'}
328,/crab_1/00048.jpg,"[2,415,298,258,136]",{'1': '0'}
329,/crab_1/00049.jpg,"[2,430,295,257,137]",{'1': '0'}
330,/crab_1/00050.jpg,"[2,447,292,253,136]",{'1': '0'}
331,/crab_1/00051.jpg,"[2,459,290,255,135]",{'1': '0'}
332,/crab_1/00052.jpg,"[2,472,287,259,134]",{'1': '0'}
333,/crab_1/00053.jpg,"[2,487,284,262,136]",{'1': '0'}
334,/crab_1/00054.jpg,"[2,500,284,262,136]",{'1': '0'}
335,/crab_1/00055.jpg,"[2,510,285,261,135]",{'1': '0'}
336,/cuttlefish_0/00000.jpg,"[2,503,199,717,520]",{'1': '0'}
337,/cuttlefish_0/00001.jpg,"[2,520,155,713,564]",{'1': '0'}
338,/cuttlefish_0/00002.jpg,"[2,535,110,708,609]",{'1': '0'}
339,/cuttlefish_0/00003.jpg,"[2,551,58,696,661]",{'1': '0'}
340,/cuttlefish_0/00004.jpg,"[2,565,37,669,682]",{'1': '0'}
341,/cuttlefish_0/00005.jpg,"[2,579,32,634,687]",{'1': '0'}
342,/cuttlefish_0/00006.jpg,"[2,575,21,657,698]",{'1': '0'}
343,/cuttlefish_0/00007.jpg,"[2,551,34,643,685]",{'1': '0'}
344,/cuttlefish_0/00008.jpg,"[2,488,94,551,625]",{'1': '0'}
345,/cuttlefish_0/00009.jpg,"[2,436,118,503,601]",{'1': '0'}
346,/cuttlefish_0/00010.jpg,"[2,391,123,476,596]",{'1': '0'}
347,/cuttlefish_0/00011.jpg,"[2,387,146,580,573]",{'1': '0'}
348,/cuttlefish_0/00012.jpg,"[2,388,179,651,540]",{'1': '0'}
